event
0
0
0
3000
0
3000
40000
3000
0
0
0
40000
0
3000
0
0
3000
0
3000
40000
40000
40000
3000
0
0
3000
3000
0
40000
0
40000
3000
3000
0
3000
0
3000
0
3000
0
0
0
3000
3000
0
0
0
3000
3000
0
0
3000
0
3000
0
0
0
3000
3000
0
0
3000
3000
3000
40000
40000
40000
3000
40000
40000
0
3000
40000
40000
0
3000
0
3000
3000
40000
0
0
3000
3000
0
0
40000
40000
3000
0
0
0
3000
0
0
0
3000
0
0
0
